timestamp_local,pred_p10_eur_per_mwh,pred_p50_eur_per_mwh,pred_p90_eur_per_mwh,actual_da_eur_per_mwh,abs_error,sq_error,in_band
2025-11-23 00:00:00+01:00,101.4,116.8,126.87,95.06,21.739999999999995,472.6275999999998,0
2025-11-23 00:15:00+01:00,122.24,122.55,123.0,88.83,33.72,1137.0384,0
2025-11-23 00:30:00+01:00,106.55,106.81,106.91,75.0,31.810000000000002,1011.8761000000002,0
2025-11-23 00:45:00+01:00,93.25,93.47,93.77,67.22,26.25,689.0625,0
2025-11-23 01:00:00+01:00,72.8,82.47,85.42,81.22,1.25,1.5625,1
2025-11-23 01:15:00+01:00,98.74,98.95,99.0,73.54,25.409999999999997,645.6680999999999,0
2025-11-23 01:30:00+01:00,93.67,93.78,94.04,71.46,22.320000000000007,498.1824000000003,0
2025-11-23 01:45:00+01:00,92.11,92.22,92.48,71.19,21.03,442.26090000000005,0
2025-11-23 02:00:00+01:00,82.55,87.84,92.81,74.84,13.0,169.0,0
2025-11-23 02:15:00+01:00,90.13,90.21,90.33,71.42,18.789999999999992,353.0640999999997,0
2025-11-23 02:30:00+01:00,88.82,89.08,89.05,68.69,20.39,415.75210000000004,0
2025-11-23 02:45:00+01:00,87.11,87.01,87.17,66.81,20.200000000000003,408.04000000000013,0
2025-11-23 03:00:00+01:00,76.38,82.96,85.9,65.18,17.779999999999987,316.12839999999954,0
2025-11-23 03:15:00+01:00,86.03,86.52,86.62,63.01,23.509999999999998,552.7200999999999,0
2025-11-23 03:30:00+01:00,84.92,85.11,85.21,63.38,21.729999999999997,472.19289999999984,0
2025-11-23 03:45:00+01:00,85.21,85.34,85.54,61.35,23.990000000000002,575.5201000000001,0
2025-11-23 04:00:00+01:00,75.25,82.68,85.11,62.74,19.940000000000005,397.6036000000002,0
2025-11-23 04:15:00+01:00,81.43,81.95,82.28,61.43,20.520000000000003,421.0704000000001,0
2025-11-23 04:30:00+01:00,86.02,86.47,86.61,60.66,25.810000000000002,666.1561000000002,0
2025-11-23 04:45:00+01:00,86.79,86.84,86.97,58.71,28.130000000000003,791.2969000000002,0
2025-11-23 05:00:00+01:00,81.53,85.8,89.28,63.89,21.909999999999997,480.04809999999986,0
2025-11-23 05:15:00+01:00,84.92,85.12,85.22,64.22,20.900000000000006,436.81000000000023,0
2025-11-23 05:30:00+01:00,84.62,84.75,84.88,65.0,19.75,390.0625,0
2025-11-23 05:45:00+01:00,84.63,84.79,84.87,63.73,21.06000000000001,443.5236000000004,0
2025-11-23 06:00:00+01:00,77.65,84.4,86.8,60.4,24.000000000000007,576.0000000000003,0
2025-11-23 06:15:00+01:00,85.11,85.34,85.55,60.99,24.35,592.9225,0
2025-11-23 06:30:00+01:00,86.79,86.85,86.97,62.49,24.359999999999992,593.4095999999996,0
2025-11-23 06:45:00+01:00,89.64,89.73,90.03,64.24,25.49000000000001,649.7401000000004,0
2025-11-23 07:00:00+01:00,85.04,96.46,104.79,64.26,32.19999999999999,1036.8399999999992,0
2025-11-23 07:15:00+01:00,98.11,98.19,98.27,68.71,29.480000000000004,869.0704000000003,0
2025-11-23 07:30:00+01:00,104.48,104.85,104.76,68.59,36.25999999999999,1314.7875999999994,0
2025-11-23 07:45:00+01:00,110.02,110.29,110.44,70.37,39.92,1593.6064000000001,0
2025-11-23 08:00:00+01:00,93.25,107.83,120.26,71.56,36.269999999999996,1315.5128999999997,0
2025-11-23 08:15:00+01:00,120.78,121.28,121.23,67.95,53.33,2844.0888999999997,0
2025-11-23 08:30:00+01:00,113.81,114.15,114.38,69.34,44.81,2007.9361000000001,0
2025-11-23 08:45:00+01:00,96.54,96.66,96.88,62.48,34.18,1168.2724,0
2025-11-23 09:00:00+01:00,74.69,79.64,83.59,69.3,10.340000000000003,106.91560000000007,0
2025-11-23 09:15:00+01:00,114.57,115.27,115.52,65.74,49.53,2453.2209000000003,0
