timestamp_local,price_p10_eur_per_mwh,price_p50_eur_per_mwh,price_p90_eur_per_mwh
2025-11-27 00:00:00+01:00,95.61,98.58,103.68
2025-11-27 00:15:00+01:00,101.6,101.9,102.02
2025-11-27 00:30:00+01:00,90.13,90.26,90.34
2025-11-27 00:45:00+01:00,90.25,90.68,90.75
2025-11-27 01:00:00+01:00,83.62,84.54,88.87
2025-11-27 01:15:00+01:00,92.1,92.26,92.45
2025-11-27 01:30:00+01:00,89.09,89.37,89.44
2025-11-27 01:45:00+01:00,88.8,89.11,89.03
2025-11-27 02:00:00+01:00,85.21,85.92,88.89
2025-11-27 02:15:00+01:00,89.07,89.37,89.45
2025-11-27 02:30:00+01:00,88.79,89.12,89.03
2025-11-27 02:45:00+01:00,87.41,87.7,87.67
2025-11-27 03:00:00+01:00,83.11,85.25,87.17
2025-11-27 03:15:00+01:00,88.79,89.11,89.03
2025-11-27 03:30:00+01:00,88.73,89.11,89.03
2025-11-27 03:45:00+01:00,90.04,90.24,90.35
2025-11-27 04:00:00+01:00,87.67,89.7,91.69
2025-11-27 04:15:00+01:00,87.09,87.03,87.14
2025-11-27 04:30:00+01:00,88.54,88.6,88.93
2025-11-27 04:45:00+01:00,90.11,90.26,90.36
2025-11-27 05:00:00+01:00,90.5,96.52,104.95
2025-11-27 05:15:00+01:00,87.1,87.05,87.15
2025-11-27 05:30:00+01:00,90.25,90.7,90.81
2025-11-27 05:45:00+01:00,100.97,100.91,101.22
2025-11-27 06:00:00+01:00,107.61,114.51,133.44
2025-11-27 06:15:00+01:00,100.2,100.7,100.89
2025-11-27 06:30:00+01:00,118.32,118.94,119.22
2025-11-27 06:45:00+01:00,132.91,132.96,133.9
2025-11-27 07:00:00+01:00,146.41,163.02,211.89
2025-11-27 07:15:00+01:00,146.24,148.32,148.71
2025-11-27 07:30:00+01:00,175.15,182.82,186.91
2025-11-27 07:45:00+01:00,175.15,209.28,212.76
2025-11-27 08:00:00+01:00,170.83,222.68,272.79
2025-11-27 08:15:00+01:00,175.15,221.06,227.33
2025-11-27 08:30:00+01:00,175.15,224.92,233.15
2025-11-27 08:45:00+01:00,175.15,270.47,278.94
2025-11-27 09:00:00+01:00,169.27,221.07,282.7
2025-11-27 09:15:00+01:00,175.15,237.45,246.9
2025-11-27 09:30:00+01:00,175.15,209.22,214.97
2025-11-27 09:45:00+01:00,175.15,208.53,214.98
2025-11-27 10:00:00+01:00,164.33,197.58,250.93
2025-11-27 10:15:00+01:00,175.15,237.64,246.86
2025-11-27 10:30:00+01:00,175.15,198.07,201.6
2025-11-27 10:45:00+01:00,175.15,181.08,183.21
2025-11-27 11:00:00+01:00,155.97,170.98,222.0
2025-11-27 11:15:00+01:00,172.1,179.3,183.24
2025-11-27 11:30:00+01:00,172.11,177.76,183.21
2025-11-27 11:45:00+01:00,167.21,172.16,172.43
2025-11-27 12:00:00+01:00,156.6,168.5,216.96
2025-11-27 12:15:00+01:00,164.99,169.23,173.2
2025-11-27 12:30:00+01:00,159.23,162.27,163.82
2025-11-27 12:45:00+01:00,165.02,169.16,172.38
2025-11-27 13:00:00+01:00,158.03,173.64,218.37
2025-11-27 13:15:00+01:00,167.2,173.34,172.42
2025-11-27 13:30:00+01:00,172.11,177.74,181.62
2025-11-27 13:45:00+01:00,165.01,169.15,172.41
2025-11-27 14:00:00+01:00,154.91,169.04,204.8
2025-11-27 14:15:00+01:00,160.0,164.71,164.66
2025-11-27 14:30:00+01:00,167.23,173.36,174.43
2025-11-27 14:45:00+01:00,175.15,198.15,199.93
2025-11-27 15:00:00+01:00,169.42,210.21,241.76
2025-11-27 15:15:00+01:00,165.02,170.44,174.43
2025-11-27 15:30:00+01:00,175.15,201.18,202.01
2025-11-27 15:45:00+01:00,175.15,266.45,253.56
2025-11-27 16:00:00+01:00,186.57,292.0,329.16
2025-11-27 16:15:00+01:00,176.78,262.51,233.37
2025-11-27 16:30:00+01:00,176.78,309.97,304.29
2025-11-27 16:45:00+01:00,176.78,345.74,355.34
2025-11-27 17:00:00+01:00,192.47,382.62,429.14
2025-11-27 17:15:00+01:00,176.78,311.84,307.22
2025-11-27 17:30:00+01:00,176.78,373.43,378.92
2025-11-27 17:45:00+01:00,176.78,332.52,327.87
2025-11-27 18:00:00+01:00,186.83,298.6,324.0
2025-11-27 18:15:00+01:00,176.78,296.55,304.48
2025-11-27 18:30:00+01:00,176.78,231.95,222.72
2025-11-27 18:45:00+01:00,176.78,231.76,222.79
2025-11-27 19:00:00+01:00,164.24,186.07,218.21
2025-11-27 19:15:00+01:00,176.78,218.48,222.89
2025-11-27 19:30:00+01:00,176.78,189.01,194.77
2025-11-27 19:45:00+01:00,168.05,169.68,172.48
2025-11-27 20:00:00+01:00,140.93,147.07,169.51
2025-11-27 20:15:00+01:00,175.27,174.78,182.28
2025-11-27 20:30:00+01:00,149.18,150.07,150.27
2025-11-27 20:45:00+01:00,128.86,128.84,129.16
2025-11-27 21:00:00+01:00,110.2,106.76,132.28
2025-11-27 21:15:00+01:00,140.41,140.51,140.9
2025-11-27 21:30:00+01:00,124.91,124.66,125.14
2025-11-27 21:45:00+01:00,103.3,102.91,103.01
2025-11-27 22:00:00+01:00,91.96,89.36,91.29
2025-11-27 22:15:00+01:00,119.15,118.99,119.1
2025-11-27 22:30:00+01:00,104.83,104.98,105.15
2025-11-27 22:45:00+01:00,95.0,94.49,94.78
2025-11-27 23:00:00+01:00,79.02,81.94,86.75
2025-11-27 23:15:00+01:00,99.84,99.62,99.84
2025-11-27 23:30:00+01:00,91.09,90.94,91.34
2025-11-27 23:45:00+01:00,87.07,87.99,88.17
2025-11-28 00:00:00+01:00,74.52,79.32,86.37
